Customer ID,frequency,recency,T,monetary_value
100001,0.0,0.0,1428.0,0.0
100002,0.0,0.0,177.0,0.0
100004,5.0,411.0,2185.0,4713.95
100005,0.0,0.0,1311.0,0.0
100006,0.0,0.0,1583.0,0.0
100007,8.0,1343.0,2072.0,1985.4125
100008,1.0,392.0,1347.0,2595.0
100009,1.0,34.0,1952.0,1102.0
100010,1.0,48.0,1563.0,350.0
100011,0.0,0.0,1127.0,0.0
100012,8.0,1500.0,2109.0,15402.0
100013,1.0,51.0,471.0,500.0
100014,8.0,1758.0,2138.0,2501.1575000000003
100015,1.0,115.0,1648.0,1599.0
100016,1.0,602.0,1660.0,600.0
100017,4.0,589.0,2072.0,4020.0
100018,0.0,0.0,1185.0,0.0
100019,2.0,1093.0,1220.0,2975.0
100020,10.0,2044.0,2138.0,1010.4
100021,9.0,1889.0,1996.0,1557.5555555555557
100023,1.0,1547.0,2157.0,489.99
100024,0.0,0.0,1689.0,0.0
100025,2.0,908.0,2150.0,472.5
100026,8.0,1256.0,2145.0,814.375
100027,2.0,235.0,1715.0,2855.5
100028,0.0,0.0,1655.0,0.0
100029,1.0,83.0,177.0,503.0
100030,0.0,0.0,1056.0,0.0
100031,31.0,1198.0,1242.0,31055.88806451613
100032,1.0,28.0,2012.0,1160.0
100033,2.0,355.0,2156.0,1435.5
100034,4.0,627.0,882.0,4193.675
100035,0.0,0.0,913.0,0.0
100036,5.0,455.0,1291.0,15085.560000000001
100037,57.0,2004.0,2004.0,83579.2398245614
100038,0.0,0.0,2061.0,0.0
100039,0.0,0.0,1557.0,0.0
100040,8.0,1088.0,1952.0,960.98375
100041,0.0,0.0,2157.0,0.0
100042,2.0,329.0,2159.0,1538.5
100043,0.0,0.0,1123.0,0.0
100044,0.0,0.0,2137.0,0.0
100045,1.0,203.0,297.0,76819.31
100046,5.0,410.0,2178.0,2693.1
100047,0.0,0.0,569.0,0.0
100048,2.0,148.0,1375.0,5467.775
100049,1.0,6.0,392.0,650.0
100050,0.0,0.0,1374.0,0.0
100051,2.0,112.0,526.0,9400.0
100052,1.0,398.0,2109.0,225.0
100053,0.0,0.0,129.0,0.0
100054,14.0,2055.0,2184.0,2417.4121428571425
100055,1.0,169.0,416.0,1175.0
100056,1.0,22.0,1197.0,500.0
100057,1.0,49.0,1512.0,800.0
100058,4.0,628.0,1645.0,3455.575
100059,0.0,0.0,1801.0,0.0
100060,2.0,797.0,1773.0,295.0
