Customer ID,frequency,recency,T,monetary_value
100004,5.0,411.0,2185.0,4713.95
100007,8.0,1343.0,2072.0,1985.4125
100008,1.0,392.0,1347.0,2595.0
100009,1.0,34.0,1952.0,1102.0
100010,1.0,48.0,1563.0,350.0
100012,8.0,1500.0,2109.0,15402.0
100013,1.0,51.0,471.0,500.0
100014,9.0,1758.0,2138.0,2251.5844444444447
100015,1.0,115.0,1648.0,1599.0
100016,1.0,602.0,1660.0,600.0
100017,4.0,589.0,2072.0,4020.0
100019,2.0,1093.0,1220.0,2975.0
100020,14.0,2049.0,2143.0,1236.3999999999999
100021,9.0,1889.0,1996.0,1557.5555555555557
100023,1.0,1547.0,2157.0,489.99
100025,2.0,908.0,2150.0,7317.5
100026,8.0,1256.0,2145.0,814.125
100027,2.0,235.0,1715.0,2855.5
100029,1.0,83.0,177.0,503.0
100031,32.0,1198.0,1242.0,31980.8603125
100032,1.0,28.0,2012.0,1160.0
100033,2.0,355.0,2156.0,1435.5
100034,4.0,627.0,882.0,4193.675
100036,5.0,455.0,1291.0,15925.36
100037,58.0,2004.0,2004.0,82881.89086206896
100039,1.0,504.0,2061.0,74.0
100040,9.0,1088.0,1952.0,900.8744444444444
100042,2.0,329.0,2159.0,1538.5
100045,1.0,203.0,297.0,76819.31
100046,5.0,410.0,2178.0,2693.1
100048,2.0,148.0,1375.0,5467.775
100049,1.0,6.0,392.0,650.0
100051,2.0,112.0,526.0,9400.0
100052,1.0,398.0,2109.0,225.0
100054,14.0,2055.0,2184.0,2417.4121428571425
100055,1.0,169.0,416.0,1175.0
100056,1.0,22.0,1197.0,500.0
100057,1.0,49.0,1512.0,800.0
100058,4.0,628.0,1645.0,3455.575
100060,2.0,797.0,1773.0,295.0
100061,1.0,1076.0,1891.0,170.0
100063,7.0,387.0,2124.0,512.7142857142857
100064,2.0,224.0,1365.0,620.0
100067,4.0,1568.0,1646.0,178331.8
100068,2.0,1869.0,2046.0,1467.1100000000001
100069,4.0,1467.0,1888.0,712.5
100070,7.0,1486.0,1907.0,1440.2857142857142
100072,12.0,829.0,920.0,2998.6633333333334
100073,1.0,57.0,563.0,4544.099999999999
100075,2.0,190.0,2095.0,403.5
100076,9.0,1564.0,2033.0,2775.017777777778
100077,2.0,133.0,1897.0,839.5
100078,5.0,1480.0,1529.0,2561.92
100079,1.0,35.0,2178.0,594.96
100080,2.0,71.0,218.0,18600.5
100081,2.0,456.0,1543.0,2012.0
100082,4.0,1155.0,2054.0,2810.75
100083,5.0,1259.0,2144.0,24422.0
100084,3.0,512.0,1919.0,953.0
100085,15.0,1807.0,1816.0,9892.866666666667
100087,1.0,44.0,976.0,339.0
100090,9.0,1329.0,2178.0,2153.0
100092,5.0,454.0,555.0,3453.54
100095,6.0,1173.0,2155.0,866.8333333333334
100098,2.0,21.0,581.0,4349.5
100099,2.0,792.0,1352.0,1213.5
100103,2.0,273.0,1990.0,395.5
100105,3.0,602.0,2165.0,379.47
100106,3.0,553.0,2102.0,4766.39
100111,1.0,49.0,1808.0,2085.0
100112,1.0,1779.0,1906.0,1550.0
100114,1.0,792.0,2075.0,297.0
100115,20.0,2067.0,2144.0,5258.736500000001
100120,5.0,1068.0,1876.0,1519.8
100121,10.0,1666.0,2107.0,893.5799999999999
100123,4.0,1006.0,2134.0,1029.25
100128,1.0,700.0,1746.0,2150.0
100130,12.0,1021.0,2107.0,45043.0625
100131,3.0,447.0,2044.0,2145.6666666666665
100133,2.0,84.0,2165.0,2205.42
100135,3.0,427.0,2143.0,3376.2666666666664
100136,2.0,1310.0,2186.0,3971.5
100137,1.0,426.0,2177.0,3160.0
100139,2.0,1519.0,2177.0,2182.0
100140,4.0,604.0,2124.0,1772.875
100142,6.0,940.0,1248.0,2677.5
100143,1.0,902.0,1086.0,1099.0
100144,3.0,387.0,1934.0,525.6666666666666
100145,1.0,56.0,1746.0,850.0
100146,1.0,440.0,1871.0,916.62
100148,18.0,1873.0,1939.0,6609.583333333333
100150,3.0,134.0,1711.0,1749.3333333333333
100153,27.0,1768.0,2142.0,1964.7037037037037
100154,1.0,8.0,1907.0,498.0
100155,6.0,1783.0,1877.0,676.1666666666666
100156,4.0,1428.0,2026.0,2780.25
100158,4.0,796.0,1120.0,4060.2749999999996
100159,1.0,350.0,1094.0,4008.0
100160,1.0,42.0,906.0,52675.0
100162,1.0,1431.0,2155.0,3225.0
100165,9.0,1370.0,2185.0,877.1111111111111
100166,7.0,1805.0,2116.0,1544.7142857142858
100167,23.0,1783.0,2162.0,15107.684782608696
100168,1.0,400.0,409.0,1215.0
100169,1.0,39.0,1928.0,1280.0
100170,2.0,101.0,1949.0,1076.75
100172,2.0,93.0,1879.0,269.0
100173,2.0,294.0,2173.0,672.5
100174,1.0,230.0,282.0,1999.0
100175,6.0,959.0,2033.0,436.8333333333333
100176,1.0,100.0,1760.0,667.0
100178,4.0,1736.0,1911.0,2448.5
100181,4.0,1764.0,2144.0,1460.5
100182,6.0,315.0,2065.0,769.3333333333334
100185,14.0,1406.0,1913.0,4693.46
100186,2.0,1025.0,1179.0,2046.75
100187,1.0,104.0,562.0,2300.0
100188,3.0,295.0,1654.0,655.6666666666666
100189,2.0,110.0,2093.0,1089.0
100190,2.0,29.0,1928.0,2728.0
100192,1.0,264.0,1779.0,1275.0
100193,1.0,7.0,647.0,1721.92
100195,2.0,175.0,247.0,8370.0
100196,7.0,1422.0,2045.0,2781.6428571428573
100205,4.0,799.0,2004.0,1632.75
100206,3.0,731.0,1854.0,271.6666666666667
100207,1.0,15.0,1515.0,1050.0
100208,2.0,379.0,1774.0,18350.0
100209,2.0,37.0,1038.0,1747.5
100210,2.0,686.0,1248.0,4570.155
100211,29.0,2131.0,2141.0,7758.063448275862
100213,16.0,1679.0,2134.0,2296.25
100214,6.0,1356.0,1527.0,4746.833333333333
100215,12.0,1611.0,1871.0,2049.608333333333
100216,2.0,457.0,1949.0,601.5
100217,3.0,958.0,2044.0,1954.0
100219,3.0,1156.0,2185.0,763.0
100220,5.0,1543.0,1952.0,2508.4
100221,6.0,1309.0,1760.0,1311.1666666666667
100222,1.0,35.0,661.0,3548.0
100223,4.0,567.0,751.0,90990.6125
100224,4.0,903.0,1690.0,444.5
100225,2.0,34.0,561.0,12368.94
100226,4.0,386.0,547.0,3221.9275
100229,8.0,971.0,1940.0,4725.0
100230,1.0,210.0,1557.0,4843.0
100231,3.0,138.0,1246.0,41599.666666666664
100232,7.0,1177.0,2185.0,3601.4285714285716
100233,6.0,1078.0,2164.0,600.3333333333334
100234,14.0,1356.0,2164.0,2556.8571428571427
100235,3.0,656.0,2149.0,1045.8333333333333
100236,1.0,15.0,876.0,298.0
100238,9.0,1026.0,2082.0,952.2222222222222
100240,7.0,1055.0,1940.0,1802.142857142857
100241,1.0,252.0,1428.0,13065.9
100243,3.0,1447.0,1917.0,2023.3333333333333
100246,3.0,1100.0,1471.0,700.0
100247,15.0,1080.0,1438.0,24006.771333333334
100249,10.0,1529.0,1746.0,13221.7
100251,3.0,772.0,920.0,1633.1333333333332
100252,17.0,2121.0,2123.0,1489.9641176470589
100253,10.0,1358.0,1564.0,1964.0
100254,14.0,1818.0,2058.0,4417.025
100255,7.0,1944.0,2184.0,4612.571428571428
100256,10.0,1089.0,2072.0,1088.3200000000002
100259,3.0,1856.0,1970.0,5165.0
100260,9.0,1483.0,2141.0,6165.222222222223
100261,2.0,561.0,906.0,26562.5
100264,2.0,647.0,1858.0,3074.0
100266,1.0,923.0,1822.0,8994.0
100267,7.0,1428.0,1773.0,1477.857142857143
100268,3.0,903.0,1968.0,771.6666666666666
100269,2.0,513.0,1389.0,9600.0
100270,1.0,508.0,1564.0,45885.0
100271,15.0,1183.0,2173.0,17763.666666666668
100272,1.0,39.0,749.0,695.0
100275,23.0,1896.0,2162.0,2286.4347826086955
100277,1.0,68.0,2043.0,129.0
100279,10.0,1608.0,1953.0,1523.5
100282,4.0,758.0,2018.0,2381.525
100285,3.0,512.0,2138.0,25806.666666666668
100286,22.0,1868.0,2172.0,49264.283181818195
100287,1.0,1225.0,1564.0,8396.0
100288,3.0,661.0,1298.0,4240.333333333333
100291,2.0,538.0,947.0,3245.0
100292,3.0,154.0,1899.0,792.6666666666666
100293,2.0,743.0,1199.0,1072.5
100294,1.0,61.0,2065.0,634.0
100296,1.0,209.0,323.0,2698.0
100297,10.0,1914.0,2155.0,1146.5
100298,2.0,157.0,1249.0,2975.55
100299,1.0,63.0,1358.0,2100.0
100300,5.0,1498.0,2173.0,4114.4
100301,7.0,427.0,2117.0,5916.285714285715
100303,2.0,235.0,1768.0,7209.0
100304,8.0,1063.0,2086.0,725.75
100305,1.0,1047.0,1911.0,12052.5
100306,1.0,154.0,1877.0,399.0
100307,10.0,1387.0,1830.0,2590.46
100309,2.0,264.0,1695.0,2212.0
100310,1.0,36.0,1241.0,950.0
100311,7.0,560.0,591.0,2985.1428571428573
100312,1.0,366.0,1928.0,1396.0
100313,2.0,898.0,1738.0,435.0
100314,9.0,883.0,2178.0,1082.888888888889
100315,3.0,490.0,939.0,38142.0
100320,1.0,47.0,1904.0,725.0
100321,17.0,1034.0,2185.0,806.935294117647
100323,3.0,34.0,2086.0,5956.666666666667
100324,4.0,1617.0,1968.0,3746.775
100325,9.0,2039.0,2124.0,1235.2222222222222
100327,2.0,1583.0,2103.0,3857.5
100328,1.0,190.0,1968.0,1050.0
100329,1.0,14.0,884.0,1972.5
100331,6.0,1870.0,2173.0,3244.1666666666665
100332,1.0,54.0,2178.0,1848.0
100333,1.0,76.0,1141.0,149.0
100335,1.0,27.0,1687.0,800.0
100336,2.0,123.0,2072.0,12796.0
100339,2.0,241.0,913.0,1019.25
100340,3.0,427.0,1952.0,330.0
100342,2.0,375.0,1847.0,975.5
100343,6.0,1527.0,1907.0,3354.875
100344,21.0,1862.0,2166.0,5515.986666666667
100345,25.0,2141.0,2185.0,823.1232000000001
100347,3.0,165.0,2149.0,1298.6000000000001
100349,2.0,1585.0,2159.0,2353.0
100355,6.0,1051.0,1968.0,2290.6666666666665
100357,1.0,52.0,1900.0,2250.0
100358,1.0,24.0,2040.0,2072.0
100359,1.0,35.0,1262.0,10060.0
100360,4.0,842.0,1900.0,932.0
100361,6.0,226.0,1662.0,1379.1783333333333
100362,1.0,296.0,2144.0,398.0
100364,5.0,1813.0,1906.0,1269.2
100366,11.0,1311.0,1781.0,1588.090909090909
100367,6.0,1458.0,1577.0,5189.333333333333
100368,13.0,2038.0,2054.0,4248.331538461538
100369,1.0,1328.0,2157.0,974.0
100370,25.0,2135.0,2185.0,1555.8267999999998
100372,4.0,281.0,2159.0,62.084999999999994
100373,2.0,71.0,218.0,37855.0
100374,2.0,465.0,2033.0,1144.5
100375,6.0,1897.0,2114.0,345.6666666666667
100377,4.0,675.0,2123.0,782.25
100378,7.0,664.0,1982.0,3096.6428571428573
100379,7.0,1027.0,1330.0,4752.072857142856
100380,1.0,76.0,2115.0,497.02
100381,3.0,504.0,987.0,4058.9733333333334
100382,3.0,497.0,591.0,6590.333333333333
100385,4.0,847.0,1990.0,2259.5
100386,16.0,2044.0,2136.0,5026.90625
100387,3.0,780.0,1599.0,3091.066666666667
100388,2.0,278.0,1806.0,1540.0
100389,4.0,736.0,2080.0,3416.625
100390,2.0,166.0,2150.0,1123.5
100391,3.0,388.0,2019.0,7729.09
100393,4.0,755.0,1864.0,3280.5
100395,10.0,1730.0,1899.0,4695.0
100396,6.0,1065.0,2178.0,586.8333333333334
100399,3.0,814.0,906.0,3738.9133333333334
100401,14.0,1266.0,1472.0,2357.0
100402,10.0,2161.0,2185.0,1658.6
100403,1.0,1064.0,1983.0,3084.0
100405,4.0,1770.0,1897.0,1203.5
100406,2.0,157.0,661.0,2548.0
100407,1.0,41.0,1969.0,650.0
100410,1.0,645.0,2117.0,1062.5
100411,12.0,1153.0,2141.0,1421.8033333333333
100413,1.0,15.0,701.0,1850.0
100414,2.0,315.0,2005.0,2690.0
100417,3.0,776.0,2122.0,120.33333333333333
100418,2.0,374.0,2173.0,1476.75
100422,1.0,220.0,2145.0,172.5
100423,21.0,1608.0,2185.0,4642.285714285715
