Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name
,Invoice,7/6/17,INV16708,Additional Schlessinger Media 9-12 Content Package (2010) (Renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,Invoice,7/6/17,INV16708,Additional Schlessinger Media K-8 Content Package (2010) (Renewal),1.00,$495.00 ,$495.00 ,AK,Nome Public Schools
,Invoice,7/6/17,INV16708,Algebra'scool Content Package (Renewal),1.00,$500.00 ,$500.00 ,AK,Nome Public Schools
,Invoice,7/6/17,INV16708,K-12 Super Core Content Package (2011) (Renewal),1.00,"$2,500.00 ","$2,500.00 ",AK,Nome Public Schools
,Invoice,7/6/17,INV16708,K-6 Supplemental Content Package (2011) (Renewal),1.00,$250.00 ,$250.00 ,AK,Nome Public Schools
,Invoice,7/6/17,INV16708,Math'scool Content Package (Renewal),1.00,$500.00 ,$500.00 ,AK,Nome Public Schools
,Invoice,7/6/17,INV16708,"SAFARI Montage Learning Object Repository Annual School License Renewal - Interoperability Support Service - SAFARI Montage LOR Exchange Proxy Server Software - Annual software upgrades and tech support for CreationStation, Managed Home Access, Multi-Format Auto-Converter - Excludes hardware. Annual software upgrades and tech support for CreationStation, Managed Home Access, Multi-Format Auto-Converter. Excludes hardware. SIS integration via OneRoster requires a LOR Lesson Presenter Annual License in addition to Interoperability Support Services (ISS) LOR Renewal Period: 08/30/2017/08/29/2018",1.00,"$1,500.00 ","$1,500.00 ",AK,Nome Public Schools
,Invoice,7/6/17,INV16708,Video Ency 20th Century Content Package (Renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,Invoice,7/6/17,INV16708,Visual Dictionary Interactive Image Content Package (Renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,,,,,,,,,
,,,,,,,,,
,Invoice,11/30/17,INV17159,"Audio Enhancement Sentinel Alert System PAL w/4 Ceiling Speakers (kit)   3010-0100 Power Supply Switching for the Achiever, Ultimate III, Elite II, MS400, GL300 and IR Receiver 1 each 3120-0001 Battery Panasonic rechargeable nickel metal hydride AA battery (orange)  2 each 3110-0021 Charger Wall Mount Mic Charger - AEBC-16 1 each 3100-0076 Microphone New Micro Infrared Handheld Microphone 1 each   3000-0456 CA-50 Amplifier (Power Supply 3010-0100 Sold Separately)  1 each 1300-1233 Cable - 50ft  Cat6 Plenum w/Molded Boot - Black 1 each   3200-0003 Cable Wire Speaker 50 ft tinned plenum rated speaker wire 1 each 3200-0002 Cable Wire Speaker 75 ft tinned plenum rated speaker wire 1  each   3400-0018 Dome Receiver IR-Satellite TLD100 with adapter  1 each   3300-0043 Speaker CS-12 Tile Bridges for Ceiling Plenum Speaker 4 each 3300-0044 Speaker CS-12 Ceiling Speaker with Plenum Rated Back can  4 each   3100-0072 Microphone - AE Infrared Tear-Drop Microphone - Safe Enabled - NBL  1 each",1.00,"$1,595.00 ","$1,595.00 ",CA,Adult Education
,Invoice,11/30/17,INV17159,Certified Installation of Audio enhancement Sentinel Alert System PAL with 4 ceiling speakers.  ADULT SCHOOL ROOM #100,1.00,$350.00 ,$350.00 ,CA,Adult Education
,Invoice,8/7/17,INV16768,"ActivBoard 10Touch Range 88"" Dry Erase electronic interactive whiteboard. ActivInspire Professional Edition available FOC.  Also includes bracket kit.",4.00,"$1,199.00 ","$4,796.00 ",CA,Alturas Elementary School
,Invoice,4/12/17,INV16453,"ActivBoard 6 Touch Range 88"" Dry Erase electronic interactive whiteboard. ActivInspire Professional Edition available FOC.",1.00,"$1,299.00 ","$1,299.00 ",CA,Alturas Elementary School
,Invoice,8/7/17,INV16768,"Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""/78""/87""/88""/95"" ActivBoards & ActivWall 88""",4.00,"$1,499.00 ","$5,996.00 ",CA,Alturas Elementary School
,Invoice,4/12/17,INV16453,"Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""/78""/87""/95"" ActivBoards.",1.00,"$1,599.00 ","$1,599.00 ",CA,Alturas Elementary School
,Invoice,8/7/17,INV16768,Promethean ActivSoundBar - For use with ActivBoard 10 Touch. Not for use of current version with ActivPanel. Mounting brackets included.,4.00,$149.00 ,$596.00 ,CA,Alturas Elementary School
,Invoice,4/12/17,INV16453,Promethean ActivSoundBar - For use with ActivBoard Touch Range & ActivPanel Touch.  Brackets included,1.00,$149.00 ,$149.00 ,CA,Alturas Elementary School
