Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name
,Invoice,7/7/2020,INV19283,Safari Montage - K-12 Super Core Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,"$2,750.00","$2,750.00",AK,Nome Public Schools
,Invoice,7/7/2020,INV19283,Safari Montage Additional Schlessinger Media K-8 Content Package   Renewal Period: 8/30/2020 - 8/29/2021,1,$495.00,$495.00,AK,Nome Public Schools
,Invoice,7/7/2020,INV19283,Safari Montage Algebra's Cool - Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,$500.00,$500.00,AK,Nome Public Schools
,Invoice,7/7/2020,INV19283,"SAFARI Montage Learning Object Repository Annual School License Renewal - Interoperability Support Service - SAFARI Montage LOR Exchange Proxy Server Software - Annual software upgrades and tech support for CreationStation, Managed Home Access, Multi-Format Auto-Converter - Excludes hardware  Renewal Period: 8/30/2020 - 8/29/2021",1,"$1,500.00","$1,500.00",AK,Nome Public Schools
,Invoice,7/7/2020,INV19283,Safari Montage Math's Cool - Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,$500.00,$500.00,AK,Nome Public Schools
,Invoice,7/7/2020,INV19283,Safari Montage Video Ency 20th Century Content Package  Renewal Period: 8/30/2020 - 8/29/2021,1,$295.00,$295.00,AK,Nome Public Schools
,Invoice,7/7/2020,INV19283,Safari Montage Visual Dictionary Interactive Image Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,$295.00,$295.00,AK,Nome Public Schools
,,,,,,,,,
,,,,,,,,,
,Invoice,7/7/2020,INV19281,Certified ACT Installation of NewLine Mobile Cart and Newline Interactive Flat Panel.,1,$475.00,$475.00,CA,AGC Apprenticeship & Training
,Invoice,7/7/2020,INV19281,TRUTOUCH 750RS Ultra-HD LED Multi-touch Display,1,"$2,799.00","$2,799.00",CA,AGC Apprenticeship & Training
,Invoice,7/7/2020,INV19281,TRUTOUCH Mobile Stand,1,$424.00,$424.00,CA,AGC Apprenticeship & Training
,Invoice,7/7/2020,INV19281,TRUTOUCH On-Board Computer i7 8G PC Module,1,"$1,049.00","$1,049.00",CA,AGC Apprenticeship & Training
,Invoice,9/15/2020,INV19416,iRover²™ for Interactive Flat Panels 500,7,"$1,430.00","$10,010.00",CA,AMS.Net
,Invoice,5/15/2020,INV19200,SMART Learning Suite Extended Software Maintenance for 37 months,200,$125.20,"$25,040.00",CA,Anacortes School District 103
,Invoice,2/5/2020,INV19031,"1300-1215 Cable, 7', Cat6, Plenum Rated  3000-0473 Amp, CA-60  3000-0600 Sensor, XD Receiver, SRC14  3010-0103 Power Supply, Wall Mount 24VDC 2A  3100-0601 Mic, AE, XD Teardrop, STD14  3100-0650 Mic, XD Handheld, SHH14,  3110-0012 Charger, Dual USB Wall Mount Charger Block, for XD Mics  3120-0006 Battery Li-iON Battery Pack, 3.7V 700 mAh 2.6 Wh for XD Mics  3200-0002 Cable, 75', Speaker Wire, Plenum Rated  3200-0003 Cable, 50', Speaker Wire, Plenum Rated  3210-0104 Cable, 15',Plenum Power cable w/2 Spade Lugs to bare wires- use w/3010-0103- for CA-60  3210-0206 Cable, 6', USB 2.0 A Male to Micro-USB B Male, for XD Mics  3300-0003 Speaker, Wall, WS-09",1,"$1,450.00","$1,450.00",CA,Antelope Valley High School District
,Invoice,2/6/2020,INV19040,"1300-2103 Cable, 3', Cat6, w/Molded Boot, Non-Plenum, Black 1  3000-0473 Amp, CA-60 1  3000-0600 Sensor, AE Logo, XD Receiver, SRC14 1  3010-0103 Power Supply, Wall Mount 24VDC 2A 1  3100-0601 Mic, AE, XD Teardrop, STD14 1 3100-0650 Mic, XD Handheld, SHH14, 1  3110-0012 Charger, Dual USB Wall Mount Charger Block, for XD Mics 1  3120-0006 Battery Li-iON Battery Pack, 3.7V 700 mAh 2.6 Wh for XD Mics 2  3200-0002 Cable, 75', Speaker Wire, Plenum Rated 1  3200-0003 Cable, 50', Speaker Wire, Plenum Rated 1  3210-0075 Cable, 35', 3.5 to 3.5 M/M Low Profile, 40517, Plenum Rated, Shielded 1  3210-0104 Cable, 15',Plenum Power cable w/2 Spade Lugs to bare wires- use w/3010-0103- for CA-60 1  3210-0206 Cable, 6', USB 2.0 A Male to Micro-USB B Male, for XD Mics 2  3300-0043 Tile Bridge, CS-12 4  3300-0044 Speaker, CS-12, Ceiling Speaker, Plenum Rated Back Can 4",3,"$1,450.00","$4,350.00",CA,Antelope Valley High School District
,Invoice,7/7/2020,INV19286,"1300-2103 Cable, 3', Cat6, w/Molded Boot, Non-Plenum, Black 1  3000-0473 Amp, CA-60 1  3000-0600 Sensor, AE Logo, XD Receiver, SRC14 1  3010-0103 Power Supply, Wall Mount 24VDC 2A 1  3100-0601 Mic, AE, XD Teardrop, STD14 1 3100-0650 Mic, XD Handheld, SHH14, 1  3110-0012 Charger, Dual USB Wall Mount Charger Block, for XD Mics 1  3120-0006 Battery Li-iON Battery Pack, 3.7V 700 mAh 2.6 Wh for XD Mics 2  3200-0002 Cable, 75', Speaker Wire, Plenum Rated 1  3200-0003 Cable, 50', Speaker Wire, Plenum Rated 1  3210-0075 Cable, 35', 3.5 to 3.5 M/M Low Profile, 40517, Plenum Rated, Shielded 1  3210-0104 Cable, 15',Plenum Power cable w/2 Spade Lugs to bare wires- use w/3010-0103- for CA-60 1  3210-0206 Cable, 6', USB 2.0 A Male to Micro-USB B Male, for XD Mics 2  3300-0043 Tile Bridge, CS-12 4  3300-0044 Speaker, CS-12, Ceiling Speaker, Plenum Rated Back Can 4",4,"$1,450.00","$5,800.00",CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19145,ActivConnect OPS - AP PC for Android.,5,$0.00,$0.00,CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19146,ActivConnect OPS - AP PC for Android.,3,$0.00,$0.00,CA,Antelope Valley High School District
,Invoice,4/13/2020,INV19159,ActivConnect OPS - AP PC for Android.,1,$0.00,$0.00,CA,Antelope Valley High School District
,Invoice,7/7/2020,INV19286,ActivConnect OPS - AP PC for Android.,4,$0.00,$0.00,CA,Antelope Valley High School District
,Invoice,9/8/2020,INV19396,ActivConnect OPS - AP PC for Android.,4,$0.00,$0.00,CA,Antelope Valley High School District
,Invoice,6/11/2020,INV19240,"ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"" panel.",5,$549.00,"$2,745.00",CA,Antelope Valley High School District
,Invoice,6/11/2020,INV19241,"ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"" panel.",1,$549.00,$549.00,CA,Antelope Valley High School District
,Invoice,6/11/2020,INV19239,"ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"" panel.",3,$549.00,"$1,647.00",CA,Antelope Valley High School District
,Invoice,4/13/2020,INV19159,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",1,"$4,399.00","$4,399.00",CA,Antelope Valley High School District
,Invoice,4/13/2020,INV19161,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",5,"$4,399.00","$21,995.00",CA,Antelope Valley High School District
,Invoice,4/13/2020,INV19160,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",3,"$4,399.00","$13,197.00",CA,Antelope Valley High School District
,Invoice,7/7/2020,INV19286,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",4,"$4,399.00","$17,596.00",CA,Antelope Valley High School District
,Invoice,9/8/2020,INV19396,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",4,"$4,399.00","$17,596.00",CA,Antelope Valley High School District
,Invoice,9/22/2020,INV19430,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",4,"$3,999.00","$15,996.00",CA,Antelope Valley High School District
,Invoice,11/17/2020,INV19569,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC    **PEPPM Contract 528899-123 Promethean**",68,"$3,999.00","$271,932.00",CA,Antelope Valley High School District
,Invoice,9/22/2020,INV19430,"AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Microphone XD Teardrop Mic Kit (1 each)  AM-9001: CA-60A Amplifier, Power Supply and Power Cable with Spade Lugs Only (1 each)  XD-9050: Microphone XD Handheld Mic Kit (1 each)",4,"$1,450.00","$5,800.00",CA,Antelope Valley High School District
,Invoice,10/21/2020,INV19526,"AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Microphone XD Teardrop Mic Kit (1 each)  AM-9001: CA-60A Amplifier, Power Supply and Power Cable with Spade Lugs Only (1 each)  XD-9050: Microphone XD Handheld Mic Kit (1 each)   **PEPPM Contract 529461-006 Audio Enhancement**",100,"$1,450.00","$145,000.00",CA,Antelope Valley High School District
,Invoice,10/21/2020,INV19525,"AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Microphone XD Teardrop Mic Kit (1 each)  AM-9001: CA-60A Amplifier, Power Supply and Power Cable with Spade Lugs Only (1 each)  XD-9050: Microphone XD Handheld Mic Kit (1 each)   **PEPPM Contract 529461-006 Audio Enhancement**",94,"$1,450.00","$136,300.00",CA,Antelope Valley High School District
,Invoice,12/31/2020,INV19627,"AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Microphone XD Teardrop Mic Kit (1 each)  AM-9001: CA-60A Amplifier, Power Supply and Power Cable with Spade Lugs Only (1 each)  XD-9050: Microphone XD Handheld Mic Kit (1 each)   **PEPPM Contract 529461-006 Audio Enhancement**",313,"$1,450.00","$453,850.00",CA,Antelope Valley High School District
,Invoice,9/8/2020,INV19396,Audio Enhancement Sentinel XD System Pal - 4 Ceiling Speakers (KIT) SP-9104 CS-12 (4) Ceiling Speaker Kit  SP-0001 CS-12 Ceiling Speaker Plenum Tile Bridge AC-0002 75' Plenum Speaker Wire  AC-0003 50' Plenum Speaker Wire  XD-9001 XD Receiver with 3' cat6 kit  XD-0601 Sensor AE Logo XD Receiver SRC14 AC-0102 3' cat6 Plenum black  XD-9025 Microphone XD Teardrop Mic Kit  XD-0701 AE XD Teardrop STD14 XD-5011 Dual USB Wall Mount Charger Block XD XD-5021 6' USB 2.0 A Male to Micro-USB B Male XD XD-5001 Li-iON Battery Pack 3.7V 700 mAh 2.6 Wh AM-9001 CA-60A Amp Kit AC-1002 Power Supply Wall Mount 24VDC 2A AC-1003 15' plnm Power Cable Spade Lug  AM-0102 CA-60A  XD-9050 XD Handheld Kit  XD-0801 XD Handheld SHH14 XD-5001 Li-iON Battery Pack 3.7V 700 mAh 2.6Wh XD-58021 6' USB 2.0 A Male to Micro USB B Male XD,4,"$1,450.00","$5,800.00",CA,Antelope Valley High School District
,Invoice,11/24/2020,INV19579,"Certified Professional Installation of ActivPanel, Wall Mount, Chromebox, Webcam, Audio Enhancement with 4 Ceiling Speakers. Data run from existing port in room.  All cabling and raceway included",4,"$1,150.00","$4,600.00",CA,Antelope Valley High School District
,Invoice,9/24/2020,INV19431,"Certified Professional Installation of ActivPanels and wall mount, Lenovo Micro PC behind panels (right side), webcam, audio enhancement with 4 ceiling speaker. All cabling and raceway included.                   ***Desert Winds HS***  **DigitalEdge Contract #ESD112-DE-16A*",4,"$1,150.00","$4,600.00",CA,Antelope Valley High School District
,Invoice,9/15/2020,INV19419,"Certified Professional Installation of ActivPanels and wall mount, Lenovo Micro PC behind panels (right side), webcam, audio enhancement with 4 ceiling speaker. All cabling and raceway included.                   ***Rex Parris HS***  **DigitalEdge Contract #ESD112-DE-16A*",4,"$1,150.00","$4,600.00",CA,Antelope Valley High School District
,Invoice,6/11/2020,INV19240,Certified Professional Installation of ActivPanels with ActivConnect OPS and all necessary cabling on ProColor Mobile Carts    ***Eastside HS*** **DigitalEdge Contract #ESD112-DE-16A**,5,$575.00,"$2,875.00",CA,Antelope Valley High School District
,Invoice,6/11/2020,INV19239,Certified Professional Installation of ActivPanels with ActivConnect OPS and all necessary cabling on ProColor Mobile Carts    ***Eastside HS*** **DigitalEdge Contract #ESD112-DE-16A**,3,$575.00,"$1,725.00",CA,Antelope Valley High School District
,Invoice,6/11/2020,INV19241,Certified Professional Installation of ActivPanels with ActivConnect OPS and all necessary cabling on ProColor Mobile Carts    ***Eastside HS*** **DigitalEdge Contract #ESD112-DE-16A**,1,$575.00,$575.00,CA,Antelope Valley High School District
,Invoice,12/29/2020,INV19621,"Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio system and data run from existing port. Includes all cables, raceway and power strips to complete install to district standards.      **PEPPM Contract 528899-123 Promethean**",68,"$1,235.00","$83,980.00",CA,Antelope Valley High School District
,Invoice,10/21/2020,INV19528,"Container Antelope Valley HS  ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",84,"$3,999.00","$335,916.00",CA,Antelope Valley High School District
,Invoice,10/21/2020,INV19527,"Container Lancaster HS  ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",84,"$3,999.00","$335,916.00",CA,Antelope Valley High School District
,Invoice,10/21/2020,INV19529,"Container Quartz Hill HS ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",84,"$3,999.00","$335,916.00",CA,Antelope Valley High School District
,Invoice,11/21/2020,INV19573,"Container William J Pete Knight HS ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",84,"$3,999.00","$335,916.00",CA,Antelope Valley High School District
,Invoice,2/6/2020,INV19043,Desert Winds High School - Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio system and data run from existing port.,3,"$1,100.00","$3,300.00",CA,Antelope Valley High School District
,Invoice,2/6/2020,INV19042,Highland High School - Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio system and data run from existing port.,17,"$1,100.00","$18,700.00",CA,Antelope Valley High School District
,Invoice,2/3/2020,INV19027,Lancaster High School - Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio system and data run from existing port.,11,"$1,100.00","$12,100.00",CA,Antelope Valley High School District
,Invoice,2/6/2020,INV19040,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,3,$49.99,$149.97,CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19146,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,3,$49.99,$149.97,CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19145,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,5,$49.99,$249.95,CA,Antelope Valley High School District
,Invoice,4/13/2020,INV19159,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,1,$49.99,$49.99,CA,Antelope Valley High School District
,Invoice,7/7/2020,INV19286,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,4,$49.99,$199.96,CA,Antelope Valley High School District
,Invoice,9/15/2020,INV19419,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,4,$49.99,$199.96,CA,Antelope Valley High School District
,Invoice,11/24/2020,INV19579,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,4,$49.99,$199.96,CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19146,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,3,$25.57,$76.71,CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19145,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,5,$25.57,$127.85,CA,Antelope Valley High School District
,Invoice,4/13/2020,INV19159,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,1,$25.57,$25.57,CA,Antelope Valley High School District
,Invoice,7/7/2020,INV19286,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,4,$25.57,$102.28,CA,Antelope Valley High School District
,Invoice,2/6/2020,INV19039,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,2,$79.99,$159.98,CA,Antelope Valley High School District
,Invoice,2/6/2020,INV19040,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,3,$79.99,$239.97,CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19146,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,3,$79.99,$239.97,CA,Antelope Valley High School District
,Invoice,3/31/2020,INV19145,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,5,$79.99,$399.95,CA,Antelope Valley High School District
,Invoice,4/13/2020,INV19159,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,1,$79.99,$79.99,CA,Antelope Valley High School District
,Invoice,10/1/2020,INV19477,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,4,$79.99,$319.96,CA,Antelope Valley High School District
,Invoice,2/5/2020,INV19031,Promethean Chromebox,11,$349.00,"$3,839.00",CA,Antelope Valley High School District
